Country ,GDP per capita growth (annual %) (2016),GDP per capita growth (annual %) (2017),GDP per capita growth (annual %) (2018),GDP per capita growth (annual %) (2019),GDP per capita growth (annual %) (2020),,"Unemployment, total (% of total labor force) (2016)","Unemployment, total (% of total labor force) (2017)","Unemployment, total (% of total labor force) (2018)","Unemployment, total (% of total labor force) (2019)","Unemployment, total (% of total labor force) (2020)"
Afghanistan,-1,0,-1,2,-4,,11,11,11,11,12
Albania,3,4,4,3,-3,,15,14,12,11,12
Algeria,1,-1,-1,-1,-7,,10,12,12,12,13
American Samoa,-2,-7,4,-1,0,,0,0,0,0,0
Andorra,5,1,2,2,-12,,0,0,0,0,0
Angola,-6,-3,-5,-4,-7,,7,7,7,7,8
Antigua and Barbuda,4,2,6,2,-17,,0,0,0,0,0
Argentina,-3,2,-4,-3,-11,,8,8,9,10,12
Armenia,0,7,5,7,-8,,18,18,19,19,20
Aruba,2,2,0,0,0,,0,0,0,0,0
Australia,1,1,1,1,-2,,6,6,5,5,7
Austria,1,2,2,1,-7,,6,6,5,4,6
Azerbaijan,-4,-1,1,2,-5,,5,5,5,5,6
"Bahamas, The",0,2,2,0,-17,,13,10,10,10,14
Bahrain,0,0,-3,-2,-9,,1,1,2,2,4
Bangladesh,6,6,7,7,1,,4,4,4,4,5
Barbados,2,0,-1,0,-18,,10,10,10,10,13
Belarus,-3,3,3,2,-1,,6,6,5,5,5
Belgium,1,1,1,1,-7,,8,7,6,5,6
Belize,-2,0,1,0,-16,,7,7,7,6,8
Benin,1,3,4,4,1,,3,2,2,2,3
Bermuda,0,5,-1,0,0,,0,0,0,0,0
Bhutan,7,3,2,4,-8,,2,2,2,2,4
Bolivia,3,3,3,1,-9,,4,4,4,3,6
Bosnia and Herzegovina,4,4,5,4,-4,,25,21,18,16,17
Botswana,2,1,2,1,-10,,18,17,17,17,18
Brazil,-4,1,1,1,-5,,12,13,12,12,14
British Virgin Islands,0,0,0,0,0,,0,0,0,0,0
Brunei Darussalam,-4,0,-1,3,0,,8,9,9,7,8
Bulgaria,5,4,4,4,-3,,8,6,5,4,6
Burkina Faso,3,3,4,3,-1,,6,5,5,5,5
Burundi,-4,-3,-2,-1,-3,,2,1,1,1,1
Cabo Verde,3,2,3,4,-16,,12,12,12,12,13
Cambodia,5,5,6,6,-4,,1,0,0,0,0
Cameroon,2,1,1,1,-2,,3,3,3,3,4
Canada,0,2,1,0,-6,,7,6,6,6,9
Cayman Islands,2,2,3,3,0,,0,0,0,0,0
Central African Republic,4,3,2,1,-2,,4,4,4,4,4
Chad,-9,-6,-1,0,-4,,2,2,2,2,2
Channel Islands,0,0,0,0,0,,7,7,7,7,8
Chile,0,0,2,0,-7,,7,7,7,7,12
China,6,6,6,6,2,,5,4,4,5,5
Colombia,1,0,1,2,-8,,9,9,9,10,15
Comoros,1,1,1,0,3,,8,8,8,8,8
"Congo, Dem. Rep.",-1,0,2,1,-2,,4,4,4,4,5
"Congo, Rep.",-13,-7,-7,-2,-10,,10,10,10,10,10
Costa Rica,3,3,1,1,-5,,9,8,10,11,17
Cote d'Ivoire,4,5,4,4,-1,,3,3,3,3,4
Croatia,4,5,4,3,-8,,13,11,8,7,7
Cuba,0,2,2,0,0,,2,2,2,2,4
Curacao,-2,-2,-2,-2,0,,0,0,0,0,0
Cyprus,6,4,4,2,-6,,13,11,8,7,7
Czech Republic,2,5,3,2,-6,,4,3,2,2,3
Denmark,2,2,2,2,-3,,6,6,5,5,6
Djibouti,5,4,7,6,-1,,11,11,11,11,12
Dominica,2,-7,2,3,-17,,0,0,0,0,0
Dominican Republic,5,4,6,4,-8,,7,6,6,6,9
Ecuador,-3,1,0,-2,-9,,5,4,4,4,6
"Egypt, Arab Rep.",2,2,3,3,2,,12,12,10,10,10
El Salvador,2,2,2,2,-8,,4,4,4,4,7
Equatorial Guinea,-12,-9,-10,-9,-8,,8,8,8,8,9
Eritrea,0,0,0,0,0,,7,7,6,6,7
Estonia,3,5,4,5,-3,,7,6,5,4,6
Ethiopia,7,7,4,6,3,,2,2,2,2,3
Faroe Islands,0,0,0,0,0,,0,0,0,0,0
Fiji,2,5,3,-1,-20,,4,4,4,4,5
Finland,3,3,1,1,-3,,9,9,7,7,8
France,1,2,2,1,-8,,10,9,9,8,9
French Polynesia,0,0,0,0,0,,12,12,13,13,14
Gabon,-1,-2,-2,1,-4,,20,20,20,20,20
"Gambia, The",-1,2,4,3,-3,,9,9,9,9,10
Georgia,3,5,5,5,-6,,17,14,13,12,12
Germany,1,2,1,0,-5,,4,4,3,3,4
Ghana,1,6,4,4,-2,,5,4,4,4,5
Gibraltar,0,0,0,0,0,,0,0,0,0,0
Greece,0,1,2,2,-8,,24,21,19,17,17
Greenland,5,0,3,0,0,,0,0,0,0,0
Grenada,3,4,4,1,-12,,0,0,0,0,0
Guam,0,0,-2,1,0,,5,5,6,6,8
Guatemala,1,1,2,2,-3,,3,2,2,2,5
Guinea,8,7,3,3,4,,4,4,4,4,4
Guinea-Bissau,4,3,-1,2,-5,,3,3,3,3,3
Guyana,3,3,4,5,43,,14,14,14,14,16
Haiti,0,1,0,-3,-5,,14,14,14,13,15
Honduras,2,3,2,1,-10,,7,6,6,6,9
"Hong Kong SAR, China",2,3,2,-2,-6,,3,3,3,3,6
Hungary,2,5,6,5,-5,,5,4,4,3,4
Iceland,5,2,2,0,-8,,3,3,3,4,5
India,7,6,5,3,-9,,6,5,5,5,7
Indonesia,4,4,4,4,-3,,4,4,4,4,4
"Iran, Islamic Rep.",12,2,-7,-8,0,,12,12,12,11,11
Iraq,11,-4,-3,2,-12,,11,13,13,13,14
Ireland,1,8,7,4,2,,8,7,6,5,6
Isle of Man,7,2,2,0,0,,0,0,0,0,0
Israel,2,2,2,1,-4,,5,4,4,4,5
Italy,1,2,1,1,-9,,12,11,11,10,9
Jamaica,1,0,1,0,-11,,13,12,9,8,8
Japan,1,2,1,0,0,,3,3,2,2,3
Jordan,-1,0,0,1,-3,,15,16,16,17,19
Kazakhstan,0,3,3,3,-4,,5,5,5,5,6
Kenya,3,2,4,3,-3,,3,3,3,3,3
Kiribati,4,-1,1,1,1,,0,0,0,0,0
"Korea, Dem. People's Rep.",0,0,0,0,0,,3,3,3,3,3
"Korea, Rep.",3,3,2,2,-1,,4,4,4,4,4
Kosovo,5,3,3,5,-6,,0,0,0,0,0
Kuwait,0,-7,-1,-1,0,,2,2,2,2,7
Kyrgyz Republic,2,3,2,2,-10,,7,7,7,7,8
Lao PDR,5,5,5,4,-1,,1,1,1,1,1
Latvia,3,4,5,3,-3,,10,9,7,6,8
Lebanon,-1,-1,-2,-7,-20,,6,6,6,6,7
Lesotho,3,-4,-2,-1,-12,,24,24,24,24,25
Liberia,-4,0,-1,-5,-5,,3,3,3,3,3
Libya,-4,25,13,1,-32,,19,19,18,18,19
Liechtenstein,0,0,0,0,0,,0,0,0,0,0
Lithuania,4,6,5,5,-1,,8,7,6,6,8
Luxembourg,2,-1,1,0,-3,,6,6,6,6,7
"Macao SAR, China",-2,8,5,-4,-57,,2,2,2,2,3
North Macedonia,3,1,3,3,-5,,24,22,21,17,18
Madagascar,1,1,0,2,-7,,2,2,2,2,2
Malawi,0,1,2,3,-2,,6,6,6,6,6
Malaysia,3,4,3,3,-7,,3,3,3,3,5
Maldives,2,3,4,4,-33,,6,6,6,6,7
Mali,3,2,2,2,-5,,8,7,7,7,8
Malta,2,5,2,1,-11,,5,4,4,3,4
Marshall Islands,1,3,3,6,0,,0,0,0,0,0
Mauritania,-2,1,-1,3,-4,,10,10,10,10,11
Mauritius,4,4,4,3,-15,,7,7,6,6,7
Mexico,1,1,1,-1,-9,,4,3,3,3,5
"Micronesia, Fed. Sts.",0,2,-1,0,0,,0,0,0,0,0
Moldova,6,6,6,5,-5,,4,4,4,5,5
Monaco,3,-4,5,7,0,,0,0,0,0,0
Mongolia,-1,3,5,3,-7,,7,6,5,5,4
Montenegro,3,5,5,4,-15,,18,16,15,15,16
Morocco,0,3,2,1,-8,,9,9,9,9,10
Mozambique,1,1,0,-1,-4,,3,3,3,3,3
Myanmar,5,6,6,1,-11,,1,2,1,1,2
Namibia,-2,-3,-1,-2,-10,,23,22,20,20,20
Nauru,3,-7,5,-1,0,,0,0,0,0,0
Nepal,0,8,6,5,-4,,3,3,3,3,4
Netherlands,2,2,2,1,-4,,6,5,4,3,4
New Caledonia,0,0,0,0,0,,15,15,15,15,17
New Zealand,1,1,1,0,-1,,5,5,4,4,5
Nicaragua,3,3,-5,-5,-3,,4,3,5,5,6
Niger,2,1,3,2,-2,,1,0,0,0,1
Nigeria,-4,-2,-1,0,-4,,7,8,8,9,9
Northern Mariana Islands,28,22,-20,-12,0,,0,0,0,0,0
Norway,0,2,0,0,-1,,5,4,4,4,5
Oman,0,-4,-2,-4,0,,3,2,2,2,5
Pakistan,3,3,4,-1,-1,,4,4,4,4,5
Palau,0,-2,3,-5,0,,0,0,0,0,0
Panama,3,4,2,1,-19,,3,4,4,5,10
Papua New Guinea,3,1,-2,4,-6,,3,2,2,2,3
Paraguay,3,3,2,-2,-2,,5,5,6,7,8
Peru,2,1,2,1,-12,,3,3,3,3,6
Philippines,6,5,5,5,-11,,3,3,2,2,3
Poland,3,5,5,5,-3,,6,5,4,3,4
Portugal,2,4,3,2,-8,,11,9,7,6,7
Puerto Rico,1,-1,0,1,-4,,12,11,9,8,11
Qatar,0,-4,-1,-1,-5,,0,0,0,0,3
Romania,5,8,5,5,-3,,6,5,4,4,5
Russian Federation,0,2,3,2,-3,,6,5,5,5,6
Rwanda,3,1,6,7,-6,,1,1,1,1,1
Samoa,7,1,-2,3,-3,,9,8,8,8,9
San Marino,2,0,1,2,0,,0,0,0,0,0
Sao Tome and Principe,2,2,1,0,1,,13,13,13,13,14
Saudi Arabia,-1,-3,1,-1,-6,,6,6,6,6,8
Senegal,3,4,3,2,-2,,7,7,7,6,7
Serbia,4,3,5,5,0,,15,13,13,10,9
Seychelles,3,4,0,1,-11,,0,0,0,0,0
Sierra Leone,4,2,1,3,-4,,5,5,4,4,5
Singapore,2,4,3,0,-5,,4,4,4,3,5
Sint Maarten (Dutch part),-2,-7,-7,0,0,,0,0,0,0,0
Slovak Republic,2,3,4,2,-5,,10,8,7,6,7
Slovenia,3,5,4,2,-6,,8,7,5,4,5
Solomon Islands,3,3,1,-1,-7,,1,1,1,1,1
Somalia,0,-1,0,0,-4,,13,13,13,13,13
South Africa,-1,0,-1,-1,-8,,27,27,27,28,29
South Sudan,0,0,0,0,0,,12,12,12,12,13
Spain,3,3,2,1,-11,,20,17,15,14,16
Sri Lanka,3,2,2,2,-4,,4,4,4,4,5
St. Kitts and Nevis,2,-3,2,1,-11,,0,0,0,0,0
St. Lucia,3,3,2,1,-21,,20,19,19,16,17
St. Martin (French part),0,0,0,0,0,,0,0,0,0,0
St. Vincent and the Grenadines,2,1,2,0,-3,,19,19,19,19,20
Sudan,1,2,0,-4,-4,,17,17,17,17,18
Suriname,-6,1,4,0,-15,,7,7,7,7,9
Eswatini,0,1,1,1,-3,,23,23,22,22,23
Sweden,1,1,1,0,-4,,7,7,6,7,8
Switzerland,1,1,2,0,-4,,5,5,5,4,5
Syrian Arab Republic,0,0,0,0,0,,8,8,8,8,9
Tajikistan,4,4,5,5,2,,7,7,7,7,8
Tanzania,4,4,2,3,-1,,2,2,2,2,2
Thailand,3,4,4,2,-6,,1,1,1,1,1
Timor-Leste,1,-6,-3,16,-10,,5,5,4,4,5
Togo,3,2,2,3,-1,,3,4,4,4,4
Tonga,6,2,-1,-1,0,,3,3,3,3,4
Trinidad and Tobago,-6,-3,0,-2,-8,,3,3,3,3,7
Tunisia,0,1,1,0,-10,,16,15,15,15,17
Turkey,2,6,1,0,1,,11,11,11,14,14
Turkmenistan,4,5,5,5,0,,4,4,4,4,4
Turks and Caicos Islands,6,-4,4,4,-28,,0,0,0,0,0
Tuvalu,2,3,1,8,3,,0,0,0,0,0
Uganda,1,0,2,3,0,,2,2,2,2,2
Ukraine,3,3,4,4,-3,,9,10,9,8,9
United Arab Emirates,2,1,0,0,0,,2,2,2,2,5
United Kingdom,1,1,1,1,-10,,5,4,4,4,4
United States,1,2,2,2,-4,,5,4,4,4,8
Uruguay,1,1,0,0,-6,,8,8,8,9,13
Uzbekistan,4,3,4,4,0,,5,6,6,6,6
Vanuatu,2,4,0,1,-11,,2,2,2,2,2
"Venezuela, RB",0,0,0,0,0,,7,7,7,7,9
Vietnam,5,6,6,6,2,,2,2,1,2,2
Virgin Islands (U.S.),1,0,2,0,0,,8,8,8,8,12
West Bank and Gaza,6,-1,-1,-1,-14,,24,26,26,25,27
"Yemen, Rep.",-12,-7,-2,0,0,,13,13,13,13,13
Zambia,1,0,1,-1,-6,,11,12,12,12,12
Zimbabwe,-1,3,2,-9,-9,,5,5,5,5,6
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,