State,Murder,Assault,UrbanPop,Rape
Alabama,13,236,58,21
Alaska,10,263,48,45
Arizona,8,294,80,31
Arkansas,9,190,50,20
California,9,276,91,41
Colorado,8,204,78,39
Connecticut,3,110,77,11
Delaware,6,238,72,16
Florida,15,335,80,32
Georgia,17,211,60,26
Hawaii,5,46,83,20
Idaho,3,120,54,14
Illinois,10,249,83,24
Indiana,7,113,65,21
Iowa,2,56,57,11
Kansas,6,115,66,18
Kentucky,10,109,52,16
Louisiana,15,249,66,22
Maine,2,83,51,8
Maryland,11,300,67,28
Massachusetts,4,149,85,16
Michigan,12,255,74,35
Minnesota,3,72,66,15
Mississippi,16,259,44,17
Missouri,9,178,70,28
Montana,6,109,53,16
Nebraska,4,102,62,17
Nevada,12,252,81,46
New Hampshire,2,57,56,10
New Jersey,7,159,89,19
New Mexico,11,285,70,32
New York,11,254,86,26
North Carolina,13,337,45,16
North Dakota,1,45,44,7
Ohio,7,120,75,21
Oklahoma,7,151,68,20
Oregon,5,159,67,29
Pennsylvania,6,106,72,15
Rhode Island,3,174,87,8
South Carolina,14,279,48,23
South Dakota,4,86,45,13
Tennessee,13,188,59,27
Texas,13,201,80,26
Utah,3,120,80,23
Vermont,2,48,32,11
Virginia,9,156,63,21
Washington,4,145,73,26
West Virginia,6,81,39,9
Wisconsin,3,53,66,11
Wyoming,7,161,60,16